Name,Class,ManaCost,Attack,Health,Text
Banjosaurio,3,10,5,6,<b>Embestir</b> Cada vez que este esbirro ataca, roba una bestia y obtiene sus estadísticas.
Banquera entusiasta,12,3,2,3,Al final de tu turno, guarda una carta de tu mazo. <b>Último aliento:</b> Añade las cartas guardadas a tu mano.
Banquero benevolente,6,3,2,4,<b>Grito de batalla:</b> <b>Descubre</b> un hechizo de tu mazo. <b>Robo rápido:</b> Del mazo enemigo.
Banquero siniestro,12,2,2,2,<b>Grito de batalla:</b> Elige a un esbirro amistoso. Mete una copia del mismo en tu mazo.
Baraja de Caos,9,5,-1,-1,Intercambia el coste y el ataque de todos los esbirros de tu mazo.
Baraja de Locuras,4,2,-1,-1,Transforma los hechizos de tu mazo en otros que cuestan (3) cristales más. <i>(Mantienen su coste original).</i>
Barak Aterrakodos,3,5,3,5,<b>Grito de batalla:</b> Roba un hechizo de coste 1, 2 y 3.
Barak Aterrakodos,3,5,3,5,<b>Grito de batalla:</b> Roba un hechizo de coste 1, 2 y 3.
Barbadorada ladrón,7,6,5,5,Después de que invoques a un pirata, invoca una copia suya que ataca a un enemigo aleatorio y luego muere.
Barcaza celeste,10,3,2,5,Cuando invocas a un pirata, inflige 2 p. de daño a un enemigo aleatorio.
Barco de juguete,7,2,2,3,Después de que invoques a un pirata, roba una carta.
Bardo escandalosa,12,3,3,2,<b>Grito de batalla:</b> Otorga +1 p. de salud a tus otros esbirros.
Barman-robot,14,2,3,1,<b>Grito de batalla:</b> Roba una carta de <b>Proscrito</b> y deslízala hacia la izquierda de tu mano.
Barnes,12,5,3,4,<b>Grito de batalla:</b> Invoca una copia 1/1 de un esbirro aleatorio de tu mazo.
Baronesa Vashj,8,4,3,6,Si se va a transformar en otro esbirro, invoca a ese esbirro en su lugar.
Barquero de Gadgetzan,7,2,2,3,<b>Combo:</b> Devuelve a un esbirro amistoso a tu mano.
Barrecaminos,12,4,2,2,<b>Grito de batalla:</b> Inflige 2 p. de daño a todos los demás esbirros.
Barrera de hielo,4,3,-1,-1,<b>Secreto:</b> Tu héroe obtiene 8 p. de armadura cuando vaya a recibir un ataque.
Barrera de hielo,4,3,-1,-1,<b>Secreto:</b> Tu héroe obtiene 8 p. de armadura cuando vaya a recibir un ataque.
Barrera de hielo,4,3,-1,-1,<b>Secreto:</b> Obtienes 8 p. de armadura cuando vayas a recibir un ataque.
Barricada,12,4,-1,-1,Invoca a un guardia 2/4 con <b>Provocar</b>. Si es tu único esbirro, invoca a otro.
Barril de monos,3,2,-1,-1,Invoca a un mono 1/4 con <b>Provocar</b>. <i>(¡Quedan tres monos!)</i>.
Barón Geddon,12,7,7,7,Al final de tu turno, inflige 2 p. de daño a todos los demás personajes.
Barón Geddon,12,7,7,7,Al final de tu turno, inflige 2 p. de daño a todos los demás personajes.
Barón Geddon,12,7,7,5,Al final de tu turno, inflige 2 p. de daño a todos los demás personajes.
Barón Osahendido,12,4,1,7,Tus esbirros activan su <b>Último aliento</b> dos veces.
Barón del atraco Togafloja,7,6,5,5,<b>Grito de batalla:</b> Si controlas a un <b>lacayo</b>, eliges un tesoro fantástico.
Barón friocaído,1,3,2,2,<b>Grito de batalla y Último aliento:</b> Roba una carta.
Barón seboso,12,3,1,1,Cada vez que invocas a un esbirro con <b>Grito de batalla</b> mientras este esbirro está en tu mano, obtiene +1/+1.
Barón óseo,7,5,5,5,<b>Último aliento:</b> Añade dos esqueletos 1/1 a tu mano.
Basilisco piel de piedra,12,3,1,1,<b>Escudo divino</b> <b>Veneno</b>
Bastón de director de circo,10,2,1,-1,Después de que tu héroe ataque, otorga +1/+1 a un robot, un dragón y un pirata de tu mano.
Bastón del Prelado,1,1,1,-1,Después de que tu héroe ataque, mete una peste aleatoria en el mazo de tu oponente.
Batallador Lengua de Ceniza,14,4,3,5,<b>Provocar</b> <b>Robo de vida</b>
Batería de piel de kodo,10,4,3,-1,<b>Último aliento:</b> Inflige p. de daño a todos los esbirros. <i>(Mejora si obtienes armadura mientras esté equipada)</i>.
Batería solista,10,5,5,5,<b>Provocar</b> <b>Grito de batalla:</b> Si no controlas a más esbirros, obtiene +2/+2 y <b>Embestir</b>.
Batidor del charco de crías,8,1,1,2,<b>Último aliento:</b> Invoca a un aletín 1/1.
Beatboxeador,7,3,4,3,<b>Combo:</b> Inflige 4 p. de daño que se dividen aleatoriamente entre todos los enemigos.
Bedela del taller,12,5,5,5,<b>Grito de batalla:</b> Si controlas una ubicación, roba 2 cartas.
Behemoth de Aguasnegras,6,7,8,10,<b>Colosal +1</b> <b>Robo de vida</b>
Behemoth de carne,12,9,4,8,<b>Provocar</b> <b>Último aliento:</b> Roba otro no-muerto e invoca una copia de él.
Behemoth de jade,2,5,3,6,<b>Provocar</b>. <b>Grito de batalla:</b> Invoca un <b>gólem de jade</b> .
Behemoth de jade,2,5,3,6,<b>Provocar</b> <b>Grito de batalla:</b> Invoca un <b>gólem de jade</b> . <b>Provocar</b> <b>Grito de batalla:</b> Invoca un <b>gólem de jade</b>.
Behemoth de llamas,12,6,4,5,<b>Grito de batalla:</b> Obtienes dos robots con <b>Magnetismo</b> aleatorios. Cuestan (2) cristales menos.
Behemoth ignoto,12,10,10,10,
Belisario Anubisath,12,9,9,6,<b>Último aliento:</b> Otorga +3/+3 a todos los esbirros de tu mano.
Bellotera,2,1,2,1,<b>Último aliento:</b> Añade dos ardillas 1/1 a tu mano.
Bendecir,6,2,-1,-1,Otorga +2 p. de salud a un esbirro y luego cambia su ataque para que sea igual a su salud.
Bendición atemporal,5,4,-1,-1,Otorga +4/+4, +3/+3, +2/+2 y +1/+1 a cuatro esbirros aleatorios de tu mano.
Bendición de autoridad,5,5,-1,-1,Otorga +8/+8 a un esbirro. Este no puede atacar a héroes este turno.
Bendición de los Ascendidos,6,4,-1,-1,Otorga +2 p. de salud a un esbirro. Invoca a un kyriano con sus estadísticas y <b>Provocar</b>.
Bendición de los ancestros,2,3,-1,-1,<b>Hechizo doble</b> Otorga +1/+1 a tus esbirros.
Bendición de los forjados,5,2,-1,-1,<b>Hechizo doble</b> Otorga <b>Robo de vida</b> a un esbirro amistoso.
Bendición de poderío,5,1,-1,-1,Otorga +3 p. de ataque a un esbirro.
Bendición de poderío,5,1,-1,-1,Otorga +3 p. de ataque a un esbirro.
Bendición de reyes,5,4,-1,-1,Otorga +4/+4 a un esbirro. <i>(+4 p. de ataque/+4 p. de salud)</i>
Bendición de reyes,5,4,-1,-1,Otorga +4/+4 a un esbirro. <i>(+4 p. de ataque/+4 p. de salud)</i>
Bendición de sabiduría,5,1,-1,-1,Elige a un esbirro. Cada vez que ataca, roba una carta.
Bendición de sabiduría,5,1,-1,-1,Elige a un esbirro. Cada vez que ataca, roba una carta.
Bendición del faraón,5,6,-1,-1,Otorga a un esbirro +4/+4, <b>Escudo divino</b> y <b>Provocar</b>.
Bendición del jardín,5,10,-1,-1,Otorga +4/+4 y <b>Escudo divino</b> a un esbirro. Cuesta (1) cristal menos por cada cristal que hayas gastado en hechizos Sagrados en esta partida.
Bengala,3,1,-1,-1,Todos los esbirros pierden <b>Sigilo</b>. Destruye todos los <b>secretos</b> del enemigo. Roba una carta.
Bengala,3,1,-1,-1,Todos los esbirros pierden <b>Sigilo</b>. Destruye todos los <b>secretos</b> del enemigo. Roba una carta.
Bestia de ciénaga,12,6,3,6,<b>Provocar</b> <b>Último aliento:</b> Invoca una bestia de mugre 2/4 con <b>Provocar</b>.
Bestia interior,3,1,-1,-1,Otorga a una bestia amistosa +1/+1 y luego ataca a un esbirro enemigo aleatorio.
Bibliomita,14,2,5,4,<b>Grito de batalla:</b> Elige una carta de tu mano para meterla en tu mazo.
Biblioteca vil,9,2,-1,2,Otorga +1/+1 a un esbirro amistoso. Se repite por cada diablillo que controles.
Bibliotecaria alterada,9,1,1,3,Tiene +1 p. de ataque por cada diablillo que controles.
Bibliotecaria de Dalaran,12,2,2,3,<b>Grito de batalla:</b> <b>Silencia</b> a los esbirros adyacentes.
Bibliotecaria de Villa Oscura,9,2,3,2,<b>Grito de batalla:</b> Descarta una carta aleatoria. <b>Último aliento:</b> Roba una carta.
Bibliotecario kóbold,9,1,2,1,<b>Grito de batalla:</b> Roba una carta. Inflige 2 p. de daño a tu héroe.
Bibliotecario real,12,4,4,4,<b>Comerciable</b> <b>Grito de batalla:</b> <b>Silencia</b> a un esbirro.
Bibliotecario real,12,4,4,4,<b>Comerciable</b> <b>Grito de batalla:</b> <b>Silencia</b> a un esbirro.
Bicho bailongo,5,4,4,3,<b>Escudo divino</b> Después de que un personaje amistoso pierda <b>Escudo divino</b>, roba una carta.
Bicho de fuego,12,1,1,2,<b>Grito de batalla</b>: Añade un elemental 1/2 a tu mano.
Bicho de fuego,12,1,1,2,<b>Grito de batalla</b>: Añade un elemental 1/2 a tu mano.
Bien congelado,1,2,-1,-1,Ambos jugadores roban 2 cartas. Tu oponente no podrá jugarlas el próximo turno.
Bifurcación,2,4,-1,-1,<b>Elige dos:</b> Roba una carta, otorga +1 p. de ataque a tus esbirros u otorga 6 p. de armadura.
Bifurcador de sonido,4,2,3,2,<b>Último aliento:</b> Copia el hechizo de mayor coste de tu mano.
Bifurcadora del destino,12,3,3,3,<b>Último aliento:</b> Obtienes una copia de la última carta que haya jugado tu oponente.
Bioluminiscencia,8,4,-1,-1,Otorga <b>+1 p. de daño con hechizos</b> a tus esbirros.
Birlar,7,1,-1,-1,Añade una carta aleatoria de otra clase a tu mano.
Blindaje de quitina,2,2,-1,-1,Obtienes 4 p. de armadura. Al comienzo de tu siguiente turno, obtienes 4 p. más.
Blindaje reforzado,10,3,-1,-1,Obtienes 6 p. de armadura. <b>Excava</b> un tesoro.
Bloque de hielo,4,3,-1,-1,<b>Secreto:</b> Cuando tu héroe vaya a recibir daño letal, lo evita y se vuelve <b>inmune</b> ese turno.
Bloque de hielo,4,3,-1,-1,<b>Secreto:</b> Cuando tu héroe vaya a recibir daño letal, lo evita y se vuelve <b>inmune</b> ese turno.
Bloquear con escudo,10,2,-1,-1,Otorga 5 p. de armadura. Roba una carta.
Bloquear con escudo,10,3,-1,-1,Otorga 5 p. de armadura. Roba una carta.
Bloquear con escudo,10,2,-1,-1,Otorga 5 p. de armadura. Roba una carta.
Bloquear y cargar,3,0,-1,-1,Cada vez que lanzas un hechizo este turno, obtienes una carta de cazador aleatoria.
Bloquear y cargar,3,0,-1,-1,Cada vez que lanzas un hechizo este turno, obtienes una carta de cazador aleatoria.
Bocadragón,12,3,3,3,<b>Grito de batalla:</b> Otorga +1/+1 a todos los esbirros con <b>Grito de batalla</b> de tu mazo.
Bocetista,9,3,3,3,<b>Grito de batalla:</b> Roba un hechizo de las Sombras. Obtienes una copia temporal de él.
Boga de ariete,10,3,-1,-1,Obliga a un esbirro a atacar a uno de los esbirros adyacentes.
Bola de Fuego,4,4,-1,-1,Inflige 6 p. de daño.
Bola de Fuego,4,4,-1,-1,Inflige 6 p. de daño.
Bola de Fuego,4,4,-1,-1,Inflige 6 p. de daño.
Bola de arañas,3,3,-1,-1,Invoca tres tejerredes 1/1 con «<b>Último aliento:</b> Obtienes una bestia aleatoria».
Bola de arañas,3,3,-1,-1,Invoca tres tejerredes 1/1 con «<b>Último aliento:</b> Obtienes una bestia aleatoria».
Bola de arañas,3,3,-1,-1,Invoca tres tejerredes 1/1 con «<b>Último aliento:</b> Obtienes una bestia aleatoria».
Bola de fuego rodante,4,5,-1,-1,Inflige 8 p. de daño a un esbirro. Cualquier exceso de daño pasa a la derecha o a la izquierda.
Bolf Escudo de Carnero,12,6,3,9,Cuando tu héroe va a recibir daño, lo recibe este esbirro en su lugar.
Bolner Picomartillo,8,2,1,4,Después de que juegues un esbirro con <b>Grito de batalla</b>, repite el primer <b>Grito de batalla</b> que hayas jugado este turno.
Bolvar Fordragón,5,5,1,7,Cada vez que un esbirro amistoso muere mientras esta carta está en tu mano, obtiene +1 p. de ataque.
Bolvar Sangre Ardiente,5,5,1,7,<b>Escudo divino</b> Obtiene +2 p. de ataque cuando un esbirro amistoso pierde <b>Escudo divino</b>.
Bomba araña,3,3,2,2,<b>Magnetismo</b> <b>Último aliento:</b> Destruye a un esbirro enemigo aleatorio.
Bomba de espíritus,9,1,-1,-1,Inflige 4 p. de daño a un esbirro y a tu héroe.
Bomba de espíritus,9,1,-1,-1,Inflige 4 p. de daño a un esbirro y a tu héroe.
Bomba de luz,6,6,-1,-1,Inflige a cada esbirro un daño equivalente a su ataque.
Bomba de luz,6,6,-1,-1,Inflige a cada esbirro un daño equivalente a su ataque.
Bomba goblin,12,1,0,2,<b>Último aliento:</b> Inflige 2 p. de daño al héroe enemigo.
Bomba oscura,9,2,-1,-1,Inflige 3 p. de daño a un personaje. Si muere, roba un hechizo de las Sombras.
Bomba oscura,9,2,-1,-1,Inflige 3 p. de daño a un personaje. Si muere, roba un hechizo de las Sombras.
Bombarbot,5,2,2,2,<b>Renacer</b>
Bombardeadora de seforio,12,5,5,5,<b>Grito de batalla:</b> Mete una bomba en el mazo de tu oponente. Al robarla, explota y le inflige 5 p. de daño.
Bombardera de Sombras,6,1,3,1,<b>Grito de batalla:</b> Inflige 3 p. de daño a cada héroe.
Bombardera de Sombras,6,1,3,1,<b>Grito de batalla:</b> Inflige 3 p. de daño a cada héroe.
Bombardera más loca todavía,12,8,9,8,<b>Grito de batalla:</b> Inflige 12 p. de daño que se dividen aleatoriamente entre todos los demás personajes.
Bombardero aún más loco,12,5,5,4,<b>Grito de batalla:</b> Inflige 6 p. de daño que se dividen aleatoriamente entre todos los demás personajes.
Bombardero loco,12,2,3,2,<b>Grito de batalla:</b> Inflige 3 p. de daño que se dividen aleatoriamente entre todos los demás personajes.
Bombardero loco,12,2,3,2,<b>Grito de batalla:</b> Inflige 3 p. de daño que se dividen aleatoriamente entre todos los demás personajes.
Bombardero loco,12,2,3,2,<b>Grito de batalla:</b> Inflige 3 p. de daño que se dividen aleatoriamente entre todos los demás personajes.
Bombazuca de Repámpanos,3,7,-1,-1,Invoca a 3 esbirros de tu mazo que atacan a esbirros enemigos y mueren.
Bosque Evanescente,2,4,-1,-1,Invoca un fuego fatuo 1/1 por cada carta que tengas en la mano.
Bosque de cuento de hadas,8,3,-1,2,Roba un esbirro con <b>Grito de batalla</b>. Cuesta (1) cristal menos.
Botas cohete,10,2,-1,-1,Otorga <b>Embestir</b> a un esbirro. Roba una carta.
Boticario Helbrim,7,4,3,2,<b>Grito de batalla y Último aliento:</b> Añade un veneno aleatorio a tu mano.
Boticario de la secta,12,4,4,4,<b>Grito de batalla:</b> Restaura 2 p. de salud a tu héroe por cada esbirro enemigo.
Boticario de la secta,12,4,4,4,<b>Grito de batalla:</b> Restaura 2 p. de salud a tu héroe por cada esbirro enemigo.
Boticario de nécrium,7,4,2,5,<b>Combo:</b> Roba un esbirro con <b>Último aliento</b> de tu mazo y obtiene su <b>Último aliento</b>.
Boticario ilegal,9,3,5,5,Tras invocar a un esbirro, inflige 5 p. de daño a tu héroe.
Boticario vil,7,3,2,4,Al final de tu turno, añade un brebaje aleatorio a tu mano.
Boxeador de las Sombras,6,2,2,3,Cada vez que se sana a un esbirro, inflige 1 p. de daño a un enemigo aleatorio.
Bracera de arena,6,3,3,3,Cada vez que lanzas un hechizo, invoca a un zombi 1/1 con <b>Provocar</b>.
Bramavil enfurecida,14,4,4,4,<b>Grito de batalla:</b> El siguiente demonio que juegues costará (2) cristales menos.
Bramavil enfurecida,14,4,4,4,<b>Grito de batalla:</b> El siguiente demonio que juegues costará (2) cristales menos.
Brann Barbabronce,12,3,2,4,Tus <b>Gritos de batalla</b> se activan dos veces.
Brann minero de las profundidades,10,6,2,4,<b>Grito de batalla:</b> Si tu mazo no contiene cartas repetidas, tus <b>Gritos de batalla</b> se activan dos veces durante el resto de la partida.
Branquia Putrefacta,8,5,3,6,<b>Grito de batalla:</b> Otorga a tus otros esbirros «<b>Último aliento:</b> Otorga +1/+1 a tus esbirros».
Branquia del Vacío,9,2,3,2,<b>Último aliento:</b> Otorga +1/+1 a todos los múrlocs de tu mano.
Branquiasol encarcelado,5,1,2,1,En <b>Letargo</b> durante 2 turnos. Cuando despierta, invoca a dos múrlocs 1/1.
Bravucón Argenta,5,2,1,1,<b>Grito de batalla:</b> Cambia el ataque y la salud de este esbirro a los valores más altos en el campo de batalla.
Brazo largo de la ley,5,5,1,5,<b>Embestir</b>, <b>Robo de vida</b> <b>Grito de batalla:</b> Obtiene +1 Ataque por cada carta de tu mano.
Brazos extras,6,3,-1,-1,Otorga a un esbirro +2/+2. Añade «¡Más brazos!» a tu mano, que otorga +2/+2 al jugarla.
Breakdance,7,1,-1,-1,Devuelve a un esbirro amistoso a tu mano. Invoca a una bailarina con sus estadísticas y <b>Embestir</b>.
Brebaje de bruja,8,2,-1,-1,Restaura 4 p. de salud. Se puede usar varias veces este turno.
Brebajista,7,1,1,2,<b>Grito de batalla:</b> Añade un brebaje aleatorio a tu mano.
Brillacorteza,2,8,4,8,<b>Provocar</b> <b>Último aliento:</b> Entra en <b>Letargo</b>. Restaura 5 p. de salud para despertarlo.
Brillaescama arcoíris,12,2,2,3,<b>+1 p. de daño con hechizos</b>
Brillotrón,5,1,1,3,<b>Magnetismo</b>
Brote de jade,2,3,-1,-1,Invoca un <b>gólem de jade</b> . Obtienes un cristal de maná vacío.
Brote de sombranoche,2,8,-1,-1,<b>Elige una:</b> <b>Descubre</b> un esbirro de tu mazo para invocarlo, o bien un hechizo para lanzarlo.
Brrrloc,8,2,2,2,<b>Grito de batalla:</b> <b>Congela</b> a un enemigo.
Bru'kan,8,4,5,4,<b>+3 de daño con hechizos de Naturaleza</b>
Bru'kan de los elementos,8,8,-1,30,<b>Grito de batalla:</b> ¡Invoca el poder de dos elementos!
Bruja de las arenas naga,4,5,5,5,<b>Grito de batalla:</b> Cambia el coste de los hechizos de tu mano a (5) cristales.
Bruja de los Secuaces,12,4,3,3,<b>Grito de batalla:</b> Invoca dos amalgamas 1/1. Las amalgamas son esbirros de todos los tipos.
Bruja de mar naga,12,8,5,5,Tus cartas cuestan (5) cristales.
Bruja de sangre,9,4,3,6,Al principio de tu turno, inflige 1 p. de daño a tu héroe.
Bruja del archiladrón,9,4,2,4,<b>Grito de batalla:</b> Invoca a un abisario 1/3 con <b>Provocar</b>. Si tu oponente tiene más esbirros, lo vuelve a invocar.
Bruto Escama Negra,10,7,5,6,<b>Provocar</b> <b>Grito de batalla:</b> Si tienes un arma equipada, invoca a un naga 5/6 con <b>Embestir</b>.
Bruto Grito de Guerra,12,5,3,6,<b>Embestir</b> Después de que este esbirro ataque a otro y lo mate, puede atacar de nuevo.
Bruto Lobo Gélido,12,2,2,2,<b>Provocar</b>
Bruto Lobo Gélido,12,2,2,2,<b>Provocar</b>
Bruto Vinculaíra,14,7,6,7,<b>Provocar</b> Cuesta (1) cristal menos por cada carta robada este turno.
Bruto blandengue,10,6,6,2,<b>Último aliento:</b> Invoca a un esbirro de tu mazo.
Bruto del Camino del Oro,12,5,3,7,<b>Provocar</b> <b>Frenesí:</b> Obtienes una cantidad de armadura equivalente al daño recibido.
Bucanero,7,1,2,1,Cada vez que equipas un arma, esta obtiene +1 p. de ataque.
Bucanero de las rebajas,7,3,3,2,<b>Embestir</b> <b>Combo:</b> Invoca una copia de esta carta.
Bucanero de poca monta,12,1,1,2,Tiene +2 p. de ataque mientras tengas un arma equipada.
Bucanero de poca monta,12,1,1,2,Tiene +2 p. de ataque mientras tengas un arma equipada.
Bucanero despiadado,7,3,2,4,<b>Combo:</b> Otorga +1 p. de ataque a tu arma.
Bucanero grisgrís,7,6,5,5,<b>Grito de batalla:</b> Si tu arma tiene al menos 3 p. de ataque, obtiene +4/+4.
Bucanero sumergido,7,5,4,4,<b>Combo:</b> Coloca un esbirro enemigo en la parte inferior del mazo de tu oponente.
Buena racha,4,0,-1,-1,Tu siguiente hechizo de Fuego este turno cuesta (2) cristales menos.
Buenorro,6,2,1,2,<b>Grito de batalla:</b> Restaura 3 p. de salud a todos los demás esbirros amistosos. Obtiene +1/+1 por cada esbirro <b>Sobrecurado</b>.
Bufón de la feria,6,3,4,3,<b>Provocar</b> <b>Corrupción:</b> Obtiene +4 p. de salud.
Bufón famélico,12,5,3,5,<b>Grito de batalla:</b> Roba una carta. <b>Imbuir ( ):</b> Roba 3 en su lugar.
Bugui bugui,5,4,-1,-1,Invoca a dos esbirros de coste 1 de tu mazo. <b>Desenlace:</b> Invoca a otro más.
Buholonio,2,7,6,6,<b>+1 p. de daño con hechizos</b> Tus hechizos reciben doble bonificación de <b>daño con hechizos</b>.
Buitre malsano,9,4,3,5,Cada vez que tu héroe recibe daño durante tu turno, invoca a un esbirro aleatorio de coste 3.
Bumerán apocalíptico,7,1,-1,-1,Lanza tu arma a un esbirro. Inflige su daño y luego vuelve a tu mano.
Burbubot,5,4,4,4,<b>Grito de batalla:</b> Otorga <b>Escudo divino</b> y <b>Provocar</b> a tus otros robots.
Burbujero,12,1,2,4,Después de que este esbirro reciba 1 p. de daño exacto, se destruye. <i>(¡Plop!).</i>
Burla,10,0,-1,-1,<b>Comerciable</b> Elige a un esbirro amistoso. Los esbirros enemigos lo atacan.
Burlar a la muerte,7,2,-1,-1,<b>Secreto:</b> Cuando un esbirro amistoso muere, lo devuelve a tu mano. Cuesta (2) cristales menos.
Busca consejo,6,1,-1,-1,<b>Cadena:</b> Juega una carta de coste 2, 3 y 4. <b>Recompensa:</b> <b>Descubre</b> una carta de tu mazo.
Busca las diferencias,4,4,-1,-1,<b>Descubre</b> e invoca un esbirro aleatorio de coste 3. Si tu mazo no contiene esbirros, esto se repite.
Buscaalmas,12,5,3,3,<b>Grito de batalla:</b> Intercambia este esbirro con uno aleatorio del mazo de tu oponente.
Buscabrillantes,7,2,3,1,<b>Grito de batalla:</b> Roba un arma de tu mazo.
Buscador de gloria,10,3,4,3,Después de que juegues un esbirro con <b>Provocar</b>, roba una carta.
Buscador de oro,12,2,1,2,Al final de tu turno, roba una carta.
Buscadora de orgullo,2,3,2,4,<b>Grito de batalla:</b> Tu siguiente carta con <b>Elige una</b> cuesta (2) cristales menos.
Buscadora de reliquias,9,1,1,1,<b>Grito de batalla:</b> Si tienes otros 6 esbirros, obtiene +4/+4.
Buscaromas sin'dorei,3,4,1,6,<b>Frenesí:</b> Invoca a cuatro hienas 1/1 con <b>Embestir</b>.
Buscasangre,3,2,2,-1,<b>Muerte con honor:</b> Obtiene +1 /+1.
Buscaverdades Aldor,5,5,4,6,<b>Provocar</b> <b>Grito de batalla:</b> Reduce en (2) cristales el coste de tus tratados durante esta partida.
Buzo Babaescama,12,3,2,4,En <b>Letargo</b> durante 1 turno. <b>Embestir</b> <b>Veneno</b>
Buzo de pasarela,12,5,6,4,En <b>Letargo</b> durante 1 turno. <b>Embestir</b> <b>Inmune</b> al atacar.
Bwonsamdi, el muerto,6,7,7,7,<b>Grito de batalla:</b> Roba esbirros de coste 1 de tu mazo hasta que tu mano esté llena.
Bárbaro kóbold,10,3,4,4,Al comienzo de tu turno, ataca a un enemigo aleatorio.
Búho monumental,12,7,8,4,<b>Último aliento:</b> Inflige 8 p. de daño a un enemigo aleatorio.
Búho umbrío,2,7,4,4,<b>Embestir</b> Cuesta (1) cristal menos por cada hechizo que hayas lanzado en esta partida.
Búnker de Dun Baldar,3,2,-1,-1,Al final de tu turno, roba un <b>secreto</b> y establece su coste en (1) cristal. Dura 3 turnos.
Búsqueda de justicia,5,2,-1,-1,Otorga +1 p. de ataque a los Reclutas Mano de Plata que invoques durante esta partida.
C'Thun,12,8,6,6,<b>Grito de batalla:</b> Inflige un daño equivalente al ataque de este esbirro, que se divide aleatoriamente entre todos los enemigos.
C'Thun,12,8,6,6,<b>Grito de batalla:</b> Inflige un daño equivalente al ataque de este esbirro, que se divide aleatoriamente entre todos los enemigos.
C'Thun el Despedazado,12,10,6,6,<b>Inicio de partida:</b> Se rompe en pedazos. <b>Grito de batalla:</b> Inflige 30 p. de daño que se dividen aleatoriamente entre todos los enemigos.
Caballero Escama Muerta,12,1,1,1,<b>Robo de vida</b>
Caballero Gravamorro,12,1,2,3,<b>Grito de batalla:</b> Invoca a un esbirro aleatorio de coste 1 para tu oponente.
Caballero Mano de Plata,12,5,4,4,<b>Grito de batalla:</b> Invoca a un escudero 2/2.
Caballero Mano de Plata,12,5,4,4,<b>Grito de batalla:</b> Invoca a un escudero 2/2.
Caballero de Ventormenta,12,4,2,5,<b>Cargar</b>
Caballero de Ventormenta,12,4,2,5,<b>Cargar</b>
Caballero de cristal,5,4,4,3,<b>Escudo divino</b> Cada vez que restauras salud, obtiene <b>Escudo divino</b>.
Caballero de la Muerte metalero,1,3,3,4,<b>Provocar</b> Cuesta salud en vez de maná si tu héroe ha recibido sanación este turno.
Caballero de lo Salvaje,2,7,6,6,Cuesta (1) cristal menos por cada bestia que hayas invocado en esta partida.
Caballero de lo Salvaje,2,7,6,6,Cuesta (1) cristal menos por cada bestia que hayas invocado en esta partida.
Caballero de los muertos,5,3,5,5,<b>Grito de batalla:</b> Inflige 5 p. de daño a tu héroe. <b>Sed de maná (7):</b> Restaura 5 p. de salud a tu héroe.
Caballero de relojería,12,5,5,5,<b>Grito de batalla:</b> Otorga +1/+1 a un robot amistoso.
Caballero de sangre,12,3,3,3,<b>Grito de batalla:</b> Todos los esbirros pierden <b>Escudo divino</b>. Obtiene +3/+3 por cada escudo perdido.
Caballero de sangre,12,3,3,3,<b>Grito de batalla:</b> Todos los esbirros pierden <b>Escudo divino</b>. Obtiene +3/+3 por cada escudo perdido.
Caballero del mal diminuto,9,2,3,2,Cada vez que descartas una carta, obtiene +2/+1.
Caballero del mal diminuto,9,2,3,2,Cada vez que descartas una carta, obtiene +2/+1.
Caballero ensangrentado,12,3,4,5,Al final de tu turno, inflige 2 p. de daño a tu héroe.
Caballero espectral,12,5,4,6,<b>Esquivo</b>
Caballero múrloc,5,4,3,4,<b>Inspirar:</b> Invoca un múrloc aleatorio.
Caballero silencioso,12,3,2,2,<b>Sigilo</b> <b>Escudo divino</b>
Caballero ungidor,5,1,1,1,<b>Grito de batalla:</b> Roba un hechizo Sagrado.
Caballo de guerra acorazado,12,4,5,3,<b>Grito de batalla:</b> Revela un esbirro de cada mazo. Si el tuyo cuesta más, obtiene <b>Cargar</b>.
Caballo de marfil,5,4,4,4,<b>Grito de batalla:</b> <b>Descubre</b> un hechizo. Restaura a tu héroe una salud equivalente a su coste.
Caballo de marfil,5,4,4,4,<b>Grito de batalla:</b> <b>Descubre</b> un hechizo. Restaura a tu héroe una salud equivalente a su coste.
Cabecilla de jade,8,6,5,5,<b>Grito de batalla:</b> Invoca un <b>gólem de jade</b> y le otorga <b>Provocar</b>.
Cabecilla de jade,8,6,5,5,<b>Grito de batalla:</b> Invoca un <b>gólem de jade</b> y le otorga <b>Provocar</b>. <b>Grito de batalla:</b> Invoca un <b>gólem de jade</b> y le otorga <b>Provocar</b>.
Cabecilla de la costa sur,8,2,3,2,<b>Grito de batalla:</b> Si controlas a otro múrloc, inflige 2 p. de daño.
Cabeza de Mimiron,12,5,4,5,Al comienzo de tu turno, si tienes al menos 3 robots, los destruye todos y crea a V-07-TR-0N.
Cabo,12,2,2,3,<b>Muerte con honor:</b> Otorga <b>Escudo divino</b> a tus otros esbirros.
Cabo incorpóreo,12,2,5,5,Después de que este esbirro ataque, se destruye.
Cacería,3,1,-1,-1,Inflige 1 p. de daño. Invoca a un mastín 1/1.
Cachiporreadora,7,1,1,2,<b>Grito de batalla:</b> Si controlas un <b>Secreto</b>, devuelve a un esbirro a la mano de su dueño. Cuesta (2) cristales más.
Cachorro robot anodizado,2,2,2,2,<b>Provocar</b>. <b>Elige una:</b> +1 p. de ataque, o bien +1 p. de salud.
